Dependent: Adjusted rent,(1),(2),(3),(4),(5),(6)
Ciudad,AMBA,AMBA,Cordoba,Cordoba,Rosario,Rosario
Intercept,18155.39755***,8479.812307***,9813.725129***,7701.686325***,9281.725578***,6346.840421***
,(59.104649),(78.899392),(104.236414),(131.001237),(79.605141),(97.099084)
Post-covid,-502.077196***,54.482161,-348.291042**,-300.762948**,-15.706429,-51.196576
,(86.139792),(75.095024),(152.115917),(147.640683),(114.633572),(106.984893)
Distance to CBD,-0.098418***,-0.104176***,-0.215937***,-0.279124***,-0.071673***,-0.132031***
,(0.003427),(0.003016),(0.037966),(0.037431),(0.024335),(0.023024)
Post*Distance,0.004969,0.002647,0.145899**,0.182903***,-0.108946***,-0.066393**
,(0.005399),(0.004722),(0.059449),(0.05895),(0.036308),(0.033546)
Controls,No,Yes,No,Yes,No,Yes
Number of obs.,71026.0,66655.0,3897.0,3442.0,8256.0,7026.0
Adj-R2,0.019,0.301,0.008,0.165,0.009,0.28
F-statistic:,448.122,4781.979,11.574,114.056,24.856,456.246
Prob (F-statistic),0.0,0.0,0.0,0.0,0.0,0.0
